date,oil_price,global_real_economic_activity,cpi,fed_funds,oil_prod_global,SP500
1986-01-01,23.27,-37.817975,109.9,8.14,55379,209.589996337891
1986-02-01,15.4,-51.768848,109.7,7.86,55363,213.960006713867
1986-03-01,12.7,-55.409076,109.1,7.48,54824,225.419998168945
1986-04-01,12.63,-61.57038,108.7,6.99,54867,235.139999389648
1986-05-01,15.12,-66.405156,109,6.85,56062,235.160003662109
1986-06-01,13.46,-69.363919,109.4,6.92,56852,245.039993286133
1986-07-01,11.71,-80.987409,109.5,6.56,57990,252.039993286133
1986-08-01,14.51,-78.32166,109.6,6.17,58718,234.910003662109
1986-09-01,14.93,-54.279694,110,5.89,54733,248.520004272461
1986-10-01,14.88,-48.829902,110.2,5.85,55042,233.600006103516
1986-11-01,15.21,-51.147616,110.4,6.04,55895,245.800003051758
1986-12-01,15.96,-60.136219,110.8,6.91,56113,249.050003051758
1987-01-01,18.52,-46.537781,111.4,6.43,55477,246.449996948242
1987-02-01,17.74,-41.807747,111.8,6.1,54751,276.450012207031
1987-03-01,18.27,-35.097154,112.2,6.13,54022,283
1987-04-01,18.65,-25.198604,112.7,6.37,54610,292.380004882812
1987-05-01,19.32,-19.448618,113,6.85,55381,288.029998779297
1987-06-01,20.05,-30.734753,113.5,6.73,55200,289.829986572266
1987-07-01,21.26,-33.677065,113.8,6.58,57665,302.940002441406
1987-08-01,20.34,-18.792031,114.3,6.73,58390,317.570007324219
1987-09-01,19.54,-22.337731,114.7,7.22,57787,323.399993896484
1987-10-01,19.82,-17.334438,115,7.29,58012,327.329986572266
1987-11-01,18.87,-12.320668,115.4,6.69,57541,255.75
1987-12-01,17.39,-5.1292209,115.6,6.77,57612,232
1988-01-01,17.06,2.888207,116,6.83,56755,255.940002441406
1988-02-01,16.84,14.138447,116.2,6.58,56884,255.039993286133
1988-03-01,16.01,19.234214,116.5,6.58,57284,267.220001220703
1988-04-01,17.7,11.694667,117.2,6.87,57635,256.089996337891
1988-05-01,17.42,5.2473454,117.5,7.09,57259,261.559997558594
1988-06-01,16.81,-5.0622713,118,7.51,57022,266.690002441406
1988-07-01,15.51,-11.418589,118.5,7.75,57327,271.779998779297
1988-08-01,15.56,-9.3493645,119,8.01,58457,272.209991455078
1988-09-01,14.62,-4.7992814,119.5,8.19,58944,258.350006103516
1988-10-01,13.78,-1.8878356,119.9,8.3,60523,271.380004882812
