"","date","oil_price","global_real_economic_activity","cpi","fed_funds"
"1",1986-01-01,23.27,-37.817975,109.9,8.14
"2",1986-02-01,15.4,-51.768848,109.7,7.86
"3",1986-03-01,12.7,-55.409076,109.1,7.48
"4",1986-04-01,12.63,-61.57038,108.7,6.99
"5",1986-05-01,15.12,-66.405156,109,6.85
"6",1986-06-01,13.46,-69.363919,109.4,6.92
"7",1986-07-01,11.71,-80.987409,109.5,6.56
"8",1986-08-01,14.51,-78.32166,109.6,6.17
"9",1986-09-01,14.93,-54.279694,110,5.89
"10",1986-10-01,14.88,-48.829902,110.2,5.85
"11",1986-11-01,15.21,-51.147616,110.4,6.04
"12",1986-12-01,15.96,-60.136219,110.8,6.91
"13",1987-01-01,18.52,-46.537781,111.4,6.43
"14",1987-02-01,17.74,-41.807747,111.8,6.1
"15",1987-03-01,18.27,-35.097154,112.2,6.13
"16",1987-04-01,18.65,-25.198604,112.7,6.37
"17",1987-05-01,19.32,-19.448618,113,6.85
"18",1987-06-01,20.05,-30.734753,113.5,6.73
"19",1987-07-01,21.26,-33.677065,113.8,6.58
"20",1987-08-01,20.34,-18.792031,114.3,6.73
"21",1987-09-01,19.54,-22.337731,114.7,7.22
"22",1987-10-01,19.82,-17.334438,115,7.29
"23",1987-11-01,18.87,-12.320668,115.4,6.69
"24",1987-12-01,17.39,-5.1292209,115.6,6.77
"25",1988-01-01,17.06,2.888207,116,6.83
"26",1988-02-01,16.84,14.138447,116.2,6.58
"27",1988-03-01,16.01,19.234214,116.5,6.58
"28",1988-04-01,17.7,11.694667,117.2,6.87
"29",1988-05-01,17.42,5.2473454,117.5,7.09
"30",1988-06-01,16.81,-5.0622713,118,7.51
"31",1988-07-01,15.51,-11.418589,118.5,7.75
"32",1988-08-01,15.56,-9.3493645,119,8.01
"33",1988-09-01,14.62,-4.7992814,119.5,8.19
"34",1988-10-01,13.78,-1.8878356,119.9,8.3
"35",1988-11-01,13.97,7.8909469,120.3,8.35
"36",1988-12-01,16.26,11.36421,120.7,8.76
"37",1989-01-01,18.08,17.833195,121.2,9.12
"38",1989-02-01,17.84,12.272303,121.6,9.36
"39",1989-03-01,19.4,17.595461,122.2,9.85
"40",1989-04-01,21.07,17.030112,123.1,9.84
"41",1989-05-01,20.17,21.588415,123.7,9.81
"42",1989-06-01,20.02,3.1783623,124.1,9.53
"43",1989-07-01,19.85,1.1025574,124.5,9.24
"44",1989-08-01,18.53,2.4857409,124.5,8.99
"45",1989-09-01,19.46,3.9639345,124.8,9.02
"46",1989-10-01,20.13,10.673192,125.4,8.84
"47",1989-11-01,19.91,18.217045,125.9,8.55
"48",1989-12-01,20.88,14.632365,126.3,8.45
"49",1990-01-01,22.93,16.564705,127.5,8.23
"50",1990-02-01,22.25,13.131612,128,8.24
"51",1990-03-01,20.54,12.58115,128.6,8.28
"52",1990-04-01,18.4,2.7462914,128.9,8.26
"53",1990-05-01,18.28,-6.1560149,129.1,8.18
"54",1990-06-01,16.87,-14.983053,129.9,8.29
"55",1990-07-01,18.26,-24.963211,130.5,8.15
"56",1990-08-01,26.76,-15.946364,131.6,8.13
"57",1990-09-01,33.51,-18.542019,132.5,8.2
"58",1990-10-01,36.17,-14.52486,133.4,8.11
"59",1990-11-01,32.67,-9.5603836,133.7,7.81
"60",1990-12-01,27.22,-0.28289139,134.2,7.31
"61",1991-01-01,26.22,0.34527732,134.7,6.91
"62",1991-02-01,21.05,10.102198,134.8,6.25
"63",1991-03-01,19.67,18.043302,134.8,6.12
"64",1991-04-01,20.8,10.592027,135.1,5.91
"65",1991-05-01,21.22,14.428308,135.6,5.78
"66",1991-06-01,20.19,16.61342,136,5.9
"67",1991-07-01,21.39,8.141266,136.2,5.82
"68",1991-08-01,21.67,2.981071,136.6,5.66
"69",1991-09-01,21.87,6.0906602,137,5.45
"70",1991-10-01,23.19,10.434106,137.2,5.21
"71",1991-11-01,22.58,11.033069,137.8,4.81
"72",1991-12-01,19.52,5.5939541,138.2,4.43
"73",1992-01-01,18.81,2.7205351,138.3,4.03
"74",1992-02-01,19.01,-10.633009,138.6,4.06
"75",1992-03-01,18.88,-17.959223,139.1,3.98
"76",1992-04-01,20.07,-21.773927,139.4,3.73
"77",1992-05-01,20.95,-14.105391,139.7,3.82
"78",1992-06-01,22.42,-22.108718,140.1,3.76
"79",1992-07-01,21.8,-31.534415,140.5,3.25
"80",1992-08-01,21.34,-31.485497,140.8,3.3
"81",1992-09-01,21.88,-32.850664,141.1,3.22
"82",1992-10-01,21.7,-32.255475,141.7,3.1
"83",1992-11-01,20.35,-19.487697,142.1,3.09
"84",1992-12-01,19.42,-7.6815912,142.3,2.92
"85",1993-01-01,19.15,-12.302384,142.8,3.02
"86",1993-02-01,20.07,-10.137547,143.1,3.03
"87",1993-03-01,20.32,-2.017709,143.3,3.07
"88",1993-04-01,20.27,2.0150083,143.8,2.96
"89",1993-05-01,19.95,8.0972116,144.2,3
"90",1993-06-01,19.17,4.7608842,144.3,3.04
"91",1993-07-01,18.01,-6.7208401,144.5,3.06
"92",1993-08-01,17.97,-6.0361962,144.8,3.03
"93",1993-09-01,17.42,-3.8658915,145,3.09
"94",1993-10-01,18.17,-7.4105379,145.6,2.99
"95",1993-11-01,16.71,-12.988016,146,3.02
"96",1993-12-01,14.56,-18.162275,146.3,2.96
"97",1994-01-01,15.02,-18.644764,146.3,3.05
"98",1994-02-01,14.8,-24.72002,146.7,3.25
"99",1994-03-01,14.72,-25.345152,147.1,3.34
