Date;INTL.57-1-WORL-TBPD.M
1986-01-01;55379
1986-02-01;55363
1986-03-01;54824
1986-04-01;54867
1986-05-01;56062
1986-06-01;56852
1986-07-01;57990
1986-08-01;58718
1986-09-01;54733
1986-10-01;55042
1986-11-01;55895
1986-12-01;56113
1987-01-01;55477
1987-02-01;54751
1987-03-01;54022
1987-04-01;54610
1987-05-01;55381
1987-06-01;55200
1987-07-01;57665
1987-08-01;58390
1987-09-01;57787
1987-10-01;58012
1987-11-01;57541
1987-12-01;57612
1988-01-01;56755
1988-02-01;56884
1988-03-01;57284
1988-04-01;57635
1988-05-01;57259
1988-06-01;57022
1988-07-01;57327
1988-08-01;58457
1988-09-01;58944
1988-10-01;60523
1988-11-01;61008
1988-12-01;61238
1989-01-01;58396
1989-02-01;57918
1989-03-01;58335
1989-04-01;58777
1989-05-01;58636
1989-06-01;58724
1989-07-01;59189
1989-08-01;60005
1989-09-01;60142
1989-10-01;60582
1989-11-01;61437
1989-12-01;61060
1990-01-01;60749
1990-02-01;61006
1990-03-01;61832
1990-04-01;61465
1990-05-01;60855
1990-06-01;60059
1990-07-01;60169
1990-08-01;56545
1990-09-01;59067
1990-10-01;59437
1990-11-01;60271
1990-12-01;60522
1991-01-01;60336
1991-02-01;60020
1991-03-01;60252
1991-04-01;58954
1991-05-01;58757
1991-06-01;58978
1991-07-01;59931
1991-08-01;59177
1991-09-01;60127
1991-10-01;60174
1991-11-01;60401
1991-12-01;60818
1992-01-01;59751.576
1992-02-01;59615.598
1992-03-01;58495.335
1992-04-01;58332.507
1992-05-01;58119.599
1992-06-01;58019.311
1992-07-01;58512.1
1992-08-01;58524.788
1992-09-01;59067.119
1992-10-01;59481.751
1992-11-01;59258.128
1992-12-01;59375.215
1993-01-01;59086.007
1993-02-01;59658.592
1993-03-01;58493.128
1993-04-01;58271.308
1993-05-01;58231.92
1993-06-01;57926.726
1993-07-01;58453.367
1993-08-01;58191.807
1993-09-01;58650.565
1993-10-01;59241.807
1993-11-01;59528.632
1993-12-01;59386.583
1994-01-01;60983.784
1994-02-01;60293.444
1994-03-01;60176.54
1994-04-01;59953.023
1994-05-01;60124.032
1994-06-01;60548.355
1994-07-01;60429.972
1994-08-01;59594.196
1994-09-01;60638.024
1994-10-01;61200.49
1994-11-01;61236.392
1994-12-01;61725.536
1995-01-01;61262.299
1995-02-01;61715.787
1995-03-01;61191.26
1995-04-01;61615.743
1995-05-01;61138.536
1995-06-01;60726.011
1995-07-01;61750.147
1995-08-01;61697.484
1995-09-01;61961.527
1995-10-01;61460.513
1995-11-01;62199.158
1995-12-01;62126.263
1996-01-01;62297.337
1996-02-01;62874.979
1996-03-01;62598.127
1996-04-01;62376.832
1996-05-01;61990.716
1996-06-01;62531.378
1996-07-01;62798.923
1996-08-01;62671.359
1996-09-01;62917.08
1996-10-01;63126.309
1996-11-01;63683.196
1996-12-01;64237.358
1997-01-01;64416.168
1997-02-01;64686.317
1997-03-01;64282.416
1997-04-01;65137.158
1997-05-01;64463.646
1997-06-01;63586.133
1997-07-01;64386.267
1997-08-01;65165.777
1997-09-01;65381.241
1997-10-01;66441.255
1997-11-01;66091.806
1997-12-01;65952.682
1998-01-01;66720.296
1998-02-01;67271.306
1998-03-01;67124.319
1998-04-01;66700.234
1998-05-01;66090.568
1998-06-01;66044.061
1998-07-01;65714.398
1998-08-01;64522.965
1998-09-01;64361.764
1998-10-01;64884.338
1998-11-01;65776.125
1998-12-01;65955.504
1999-01-01;65684.486
1999-02-01;65635.407
1999-03-01;65284.966
1999-04-01;64122.607
1999-05-01;63370.008
1999-06-01;63261.942
1999-07-01;63854.99
1999-08-01;63988.56
1999-09-01;63780.779
1999-10-01;64414.462
1999-11-01;64830.285
1999-12-01;64168.171
2000-01-01;64344.8691
2000-02-01;65061.06259
2000-03-01;65239.83255
2000-04-01;65741.43967
2000-05-01;66136.50413
2000-06-01;65785.10167
2000-07-01;66503.74184
2000-08-01;67041.54994
2000-09-01;66982.02
2000-10-01;67735.98426
2000-11-01;68591.51567
2000-12-01;67112.56477
2001-01-01;67456.87048
2001-02-01;66863.35914
2001-03-01;67396.32058
2001-04-01;66699.46033
2001-05-01;65893.83635
2001-06-01;64304.337
2001-07-01;66619.91216
2001-08-01;66732.25235
2001-09-01;66054.384
2001-10-01;66016.13577
2001-11-01;65888.75467
2001-12-01;65969.58161
2002-01-01;65553.67035483872
2002-02-01;65691.05957142857
2002-03-01;65101.1434516129
2002-04-01;64239.04533333333
2002-05-01;65035.73651612903
2002-06-01;65078.906
2002-07-01;65967.9304516129
2002-08-01;65700.7424516129
2002-09-01;65742.813
2002-10-01;67130.05680645161
2002-11-01;67339.77133333332
2002-12-01;66663.53041935484
2003-01-01;69345.818
2003-02-01;70667.015
2003-03-01;70704.776
2003-04-01;69354.52
2003-05-01;69169.601
2003-06-01;68983.813
2003-07-01;69435.615
2003-08-01;69893.245
2003-09-01;69853.647
2003-10-01;71135.661
2003-11-01;71547.06
2003-12-01;72136.433
2004-01-01;71671.928
2004-02-01;71616.39
2004-03-01;72142.732
2004-04-01;71737.695
2004-05-01;72166.495
2004-06-01;73591.559
2004-07-01;73916.642
2004-08-01;72905.11
2004-09-01;73342.663
2004-10-01;74049.505
2004-11-01;74096.572
2004-12-01;73736.139
2005-01-01;73197.742
2005-02-01;73998.369
2005-03-01;73959.974
2005-04-01;74505.991
2005-05-01;74752.059
2005-06-01;74143.189
2005-07-01;74216.962
2005-08-01;74312.312
2005-09-01;73028.623
2005-10-01;73691.379
2005-11-01;74375.594
2005-12-01;74495.252
2006-01-01;74145.415
2006-02-01;74618.98
2006-03-01;74742.219
2006-04-01;74011.71
2006-05-01;73676.743
2006-06-01;74094.518
2006-07-01;75091.576
2006-08-01;74116.975
2006-09-01;74048.543
2006-10-01;74216.318
2006-11-01;74093.127
2006-12-01;73667.922
2007-01-01;73967.377
2007-02-01;74427.572
2007-03-01;74226.811
2007-04-01;74264.972
2007-05-01;73867.61
2007-06-01;73627.997
2007-07-01;74422.538
2007-08-01;73493.174
2007-09-01;73855.256
2007-10-01;75066.649
2007-11-01;74528.258
2007-12-01;74940.932
2008-01-01;74728.643
2008-02-01;74823.678
2008-03-01;75045.509
2008-04-01;74486.134
2008-05-01;74790.717
2008-06-01;74812.019
2008-07-01;75569.424
2008-08-01;74482.225
2008-09-01;73486.298
2008-10-01;74476.433
2008-11-01;74319.854
2008-12-01;73550.516
2009-01-01;72485.235
2009-02-01;72875.503
2009-03-01;72709.632
2009-04-01;72994.151
2009-05-01;72595.179
2009-06-01;72726.703
2009-07-01;73687.155
2009-08-01;73145.54
2009-09-01;73584.571
2009-10-01;74041.585
2009-11-01;74165.539
2009-12-01;73862.078
2010-01-01;74045.54594696118
2010-02-01;74360.29494696119
2010-03-01;74606.7539469612
2010-04-01;74359.84394696119
2010-05-01;74339.71394696119
2010-06-01;73974.67494696118
2010-07-01;74224.58094696118
2010-08-01;74098.63594696119
2010-09-01;74409.62594696118
2010-10-01;74744.62994696118
2010-11-01;75072.43594696118
2010-12-01;75163.46694696118
2011-01-01;75925.41366097397
2011-02-01;75489.33866097397
2011-03-01;74441.36866097397
2011-04-01;74286.66666097398
2011-05-01;73656.32966097398
2011-06-01;74445.66866097397
2011-07-01;74840.03766097398
2011-08-01;75301.61166097397
2011-09-01;74681.63066097397
2011-10-01;75258.02566097397
2011-11-01;76238.92466097398
2011-12-01;76595.46966097398
2012-01-01;76765.30451043224
2012-02-01;76987.85451043224
2012-03-01;76880.10351043224
2012-04-01;77197.09451043225
2012-05-01;76499.23051043224
2012-06-01;76295.14451043223
2012-07-01;76549.35851043224
2012-08-01;76528.93751043224
2012-09-01;75955.27851043224
2012-10-01;76567.77951043224
2012-11-01;77102.62651043224
2012-12-01;76985.27951043224
2013-01-01;76420.5107694
2013-02-01;76207.3977694
2013-03-01;76413.8997694
2013-04-01;76839.2897694
2013-05-01;76704.2567694
2013-06-01;76758.4047694
2013-07-01;77273.8187694
2013-08-01;77028.3037694
2013-09-01;76558.1527694
2013-10-01;76837.9607694
2013-11-01;77139.8017694
2013-12-01;77565.4347694
2014-01-01;77787.9774128041
2014-02-01;78277.62641280411
2014-03-01;77633.8494128041
2014-04-01;77428.63841280411
2014-05-01;77600.92241280411
2014-06-01;77903.58141280411
2014-07-01;78157.9104128041
2014-08-01;78491.3194128041
2014-09-01;79227.60741280411
2014-10-01;80212.03941280411
2014-11-01;79975.4634128041
2014-12-01;80847.80941280411
2015-01-01;80106.3621871
2015-02-01;79989.9991871
2015-03-01;80924.8551871
2015-04-01;80528.0681871
2015-05-01;80467.9041871
2015-06-01;80919.9951871
2015-07-01;81433.0771871
2015-08-01;81173.5001871
2015-09-01;81062.4931871
2015-10-01;81016.8341871
2015-11-01;81689.1811871
2015-12-01;81868.1911871
2016-01-01;81795.41
2016-02-01;81043.412
2016-03-01;80928.202
2016-04-01;80148.383
2016-05-01;79355.897
2016-06-01;80068.621
2016-07-01;80827.959
2016-08-01;80255.518
2016-09-01;80623.222
2016-10-01;81783.142
2016-11-01;82777.842
2016-12-01;82225.155
2017-01-01;81235.58561548586
2017-02-01;81112.802893115
2017-03-01;80615.03118266084
2017-04-01;80106.24112285199
2017-05-01;80899.5369535846
2017-06-01;81150.37640797455
2017-07-01;81621.67824369333
2017-08-01;81191.80731012397
2017-09-01;81329.5497717697
2017-10-01;81546.23028483611
2017-11-01;82005.84345620169
2017-12-01;81647.41311653929
2018-01-01;82130.02053992209
2018-02-01;82365.68176797382
2018-03-01;82280.71884341697
2018-04-01;82012.6389632464
2018-05-01;81929.12486556535
2018-06-01;82094.94522697077
2018-07-01;82809.96926002525
2018-08-01;83221.61992846004
2018-09-01;83367.77560093133
2018-10-01;84235.112443684
2018-11-01;84592.8406982195
2018-12-01;84126.28433352656
2019-01-01;82450.7439309283
2019-02-01;82423.17025715187
2019-03-01;82136.15954365241
2019-04-01;82052.46206961414
2019-05-01;81615.2430552827
2019-06-01;81577.0693962349
2019-07-01;81176.3589912852
2019-08-01;82261.01789830078
2019-09-01;80592.94730683303
2019-10-01;82475.27851202124
2019-11-01;83307.8155771937
2019-12-01;83467.04924265582
2020-01-01;82784.69132979737
2020-02-01;81983.95517709
2020-03-01;82099.75458233681
2020-04-01;82388.50358010607
2020-05-01;71274.70069283184
2020-06-01;70002.37649236541
2020-07-01;71472.6417272098
2020-08-01;72552.62122875646
2020-09-01;72402.14955119176
2020-10-01;72977.79374169106
2020-11-01;74775.46046318032
2020-12-01;75515.39776614754
2021-01-01;75880.04098425458
2021-02-01;73952.87185426349
2021-03-01;75837.00147943865
2021-04-01;75350.66382660586
2021-05-01;75850.93783410452
2021-06-01;76360.98803027713
2021-07-01;77642.53410177623
2021-08-01;77234.05113230353
2021-09-01;77634.91709399631
2021-10-01;78969.51930216668
2021-11-01;79861.82923911708
2021-12-01;79392.33973869751
2022-01-01;79552.37507903419
2022-02-01;80814.642788992
2022-03-01;80745.5672334843
2022-04-01;79967.9303695733
2022-05-01;79466.55944830547
2022-06-01;79717.2090842905
2022-07-01;80628.11967539995
2022-08-01;81602.39155406262
2022-09-01;82145.38776453749
2022-10-01;82232.90687068243
2022-11-01;82561.15141785791
2022-12-01;81944.40369483634
2023-01-01;82124.53367540883
2023-02-01;82773.95843784326
2023-03-01;82731.59259057758
2023-04-01;82150.09718136332
2023-05-01;81381.86178062134
2023-06-01;81978.22553590605
2023-07-01;81250.94495882558
2023-08-01;80783.95454788904
2023-09-01;81745.59300861762
2023-10-01;82099.52696029296
2023-11-01;82915.1749726553
2023-12-01;83215.72836306576
2024-01-01;81848.33588671513
2024-02-01;82540.877469039
2024-03-01;82978.39036703267
2024-04-01;82433.42874114995
2024-05-01;81733.0786658171
2024-06-01;81435.19707454386
2024-07-01;81715.93031933872
2024-08-01;81938.15029192372
2024-09-01;80860.34562217543
2024-10-01;82023.53236371136
2024-11-01;82238.40238354342
2024-12-01;82646.47296336039
